food,amount,price
Round steak,1 kilogram,19.79
Sirloin steak,1 kilogram,26.39
Prime rib roast,1 kilogram,43.16
Blade roast,1 kilogram,19.53
Stewing beef,1 kilogram,18.59
Ground beef,1 kilogram,12.52
Pork chops,1 kilogram,12.52
Chicken,1 kilogram,8.04
Bacon,1 kilogram,17.1
Wieners,450 grams,5.58
Canned salmon,213 grams,6.40
Homogenized milk,4 litres,6.53
Partly skimmed milk,4 litres,5.90
Butter,454 grams,5.67
Processed cheese slices,250 grams,2.77
Evaporated milk,385 millilitres,1.96
Eggs,1 dozen,3.87
Bread,675 grams,3.00
Soda crackers,450 grams,3.67
Macaroni,500 grams,1.75
Flour,2.5 kilograms,4.65
Corn flakes,675 grams,6.38
Apples,1 kilogram,4.77
Bananas,1 kilogram,1.63
Oranges,1 kilogram,4.12
Apple juice,1.36 litres,2.43
Orange juice,1 litre,4.58
Carrots,1 kilogram,2.46
Mushrooms,1 kilogram,10.42
Onions,1 kilogram,2.37
Potatoes,4.54 kilograms,10.33
French fried potatoes frozen,1 kilogram,3.43
Baked beans,398 millilitres,1.51
Tomatoes,796 millilitres,1.62
Tomato juice,1.36 litres,2.94
Ketchup,1 litre,4.17
Sugar white,2 kilograms,2.67
Cooking or salad oil,1 litre,4.45
Soup,284 millilitres,1.28
Baby food,128 millilitres,1.72
Peanut butter,500 grams,2.89